Family	Population	Tree	Location	Region	Latitude	Longitude	SeedWeight	Germination	Survival	Height	Fitness	Elevation	PC1	PC2	Family_Homozygosity	Population_Homozygosity	Genetic_Diversity	Genetic_Load
BAL_01	BAL	1	NY	C	44.1528	73.64591	0.003754	0.42	0.933333333	45.23426327	17.7318312	570	-0.013140532	0.05442014	0.90887561	0.009675926	0.095115219	1.01299845
BAL_02	BAL	2	NY	C	44.1517	73.65127	0.005686	0.62	1	31.39162447	19.46280717	620	-0.034599042	0.04605321	0.900863504	0.009675926	0.095115219	1.01299845
BAL_03	BAL	3	NY	C	44.15337	73.65371	0.003264	0.36	0.933333333	31.22062831	10.49013111	650	-0.016250548	0.05658226	0.886009024	0.009675926	0.095115219	1.01299845
BAL_04	BAL	4	NY	C	44.15409	73.65688	0.003812	0.44	1	30.73597325	13.52382823	670	-0.013082586	0.04683952	0.891545881	0.009675926	0.095115219	1.01299845
BAL_05	BAL	5	NY	C	44.15415	73.65799	0.003752	0.34	0.866666667	37.19959071	10.9614794	698	-0.015956033	0.05173377	0.932864185	0.009675926	0.095115219	1.01299845
BAL_10	BAL	10	NY	C	44.16008	73.66681	NA	NA	0	NA	NA	918	-0.026750695	0.04486593	0.92440708	0.009675926	0.095115219	1.01299845
BBE_01	BBE	1	NH	C	43.83596	71.55484	0.003292	0.4	1	32.00027545	12.80011018	365	-0.0123369	0.0365561	0.933810928	0.004714006	0.083632317	1.00583725
BBE_02	BBE	2	NH	C	43.83457	71.54906	0.002998	0.7	0.6	25.94408562	10.89651596	368	0.006339613	0.03970208	0.908859102	0.004714006	0.083632317	1.00583725
BBE_03	BBE	3	NH	C	43.83484	71.53966	0.002988	0.6	0.866666667	30.59076131	15.90719589	373	-0.002594198	0.04331246	0.926694038	0.004714006	0.083632317	1.00583725
BBE_04	BBE	4	NH	C	43.83367	71.53963	0.00349	0.64	0.933333333	35.01348607	20.91472234	383	0.002592175	0.05464034	0.913772522	0.004714006	0.083632317	1.00583725
BBE_05	BBE	5	NH	C	43.83176	71.54305	0.003486	0.78	1	31.43843494	24.52197925	374	-0.006009568	0.04653298	0.905899441	0.004714006	0.083632317	1.00583725
BER_01	BER	1	ME	C	44.69079	70.37595	0.003454	0.54	1	33.92766716	18.32094027	481	0.001489781	0.05074824	0.88070669	0.009588427	0.102900243	1.018687156
BER_02	BER	2	ME	C	44.69043	70.37637	0.003824	0.68	0.866666667	30.92041652	18.22243214	487	0.006065829	0.05998518	0.899054143	0.009588427	0.102900243	1.018687156
BER_03	BER	3	ME	C	44.68987	70.37686	0.002578	0.7	1	35.0870896	24.56096272	482	0.023820992	0.04748987	0.896813919	0.009588427	0.102900243	1.018687156
BER_04	BER	4	ME	C	44.68953	70.37609	0.002274	0.54	0.8	36.81933201	15.90595143	487	0.004389909	0.05431439	0.915518023	0.009588427	0.102900243	1.018687156
BER_05	BER	5	ME	C	44.68899	70.37624	0.002796	0.52	0.733333333	20.24095927	7.718552466	492	0.021246508	0.05396633	0.88850518	0.009588427	0.102900243	1.018687156
BER_06	BER	6	ME	C	44.68834	70.37627	0.003254	0.46	0.666666667	29.19359924	8.952703772	496	0.01848307	0.06803629	0.897318227	0.009588427	0.102900243	1.018687156
BFA_01	BFA	1	WV	E	38.4766	79.7229	0.003146	0.46	1	34.46178945	15.85242315	1348	-0.041824354	-0.04996938	0.902260989	0.008800936	0.090584892	1.006236161
BFA_02	BFA	2	WV	E	38.47666	79.71849	0.003654	0.7	0.933333333	23.64518665	15.44818861	1325	-0.042627379	-0.05667235	0.885707883	0.008800936	0.090584892	1.006236161
BFA_03	BFA	3	WV	E	38.47696	79.71696	0.002908	0.38	1	28.53572615	10.84357594	1336	-0.043922288	-0.05734311	0.91612668	0.008800936	0.090584892	1.006236161
BFA_04	BFA	4	WV	E	38.47797	79.7165	0.003642	0.52	0.8	30.13763336	12.53725548	1333	-0.042544743	-0.0561441	0.91267246	0.008800936	0.090584892	1.006236161
BFA_05	BFA	5	WV	E	38.47892	79.71738	0.002594	0.36	0.866666667	26.40881381	8.239549912	1328	-0.044419397	-0.05227255	0.92167103	0.008800936	0.090584892	1.006236161
BLA_01	BLA	1	PA	M	41.11477	75.59536	0.003792	0.78	1	34.81563894	27.15619837	475	0.054912188	-0.06200394	0.890686972	0.008808228	0.106341538	1.036146316
BLA_02	BLA	2	PA	M	41.11296	75.59274	0.003806	0.92	1	38.99631859	35.8766131	499	0.096237902	-0.08772851	0.900123674	0.008808228	0.106341538	1.036146316
BLA_03	BLA	3	PA	M	41.11094	75.58869	0.003632	0.34	1	40.23944234	13.68141039	513	0.025357238	-0.05748761	0.901149816	0.008808228	0.106341538	1.036146316
BLA_04	BLA	4	PA	M	41.11113	75.58817	0.002262	0.44	1	36.47454461	16.04879963	513	0.085995738	-0.04724334	0.85905583	0.008808228	0.106341538	1.036146316
BLA_05	BLA	5	PA	M	41.11547	75.59589	0.002508	0.42	0.8	35.33376751	11.87214588	510	0.084815887	-0.02580046	0.88536663	0.008808228	0.106341538	1.036146316
BRA_01	BRA	1	PA	M	41.15817	75.53619	0.003062	0.84	0.6	29.94281908	15.09118082	520	0.063513166	-0.06624058	0.864334631	0.011301948	0.110541501	1.011367502
BRA_02	BRA	2	PA	M	41.15854	75.53651	0.003982	0.62	0.933333333	31.20095205	18.05495091	531	0.030159341	-0.06544839	0.890342665	0.011301948	0.110541501	1.011367502
BRA_03	BRA	3	PA	M	41.16102	75.53809	0.003894	0.74	0.933333333	30.34810856	20.96042697	528	0.030604543	-0.05597927	0.916677722	0.011301948	0.110541501	1.011367502
BRA_04	BRA	4	PA	M	41.16406	75.54375	0.004032	0.82	1	38.921224	31.91540368	531	0.039276601	-0.05881521	0.864667243	0.011301948	0.110541501	1.011367502
BRA_05	BRA	5	PA	M	41.15577	75.52876	0.002986	0.88	1	32.41026063	28.52102935	539	0.047528042	-0.04017587	0.875771081	0.011301948	0.110541501	1.011367502
BRB_01	BRB	1	WV	E	39.11781	79.58277	0.003916	0.66	0.933333333	22.57125112	13.90389069	988	-0.040835768	-0.06120443	0.918036047	0.003653081	0.077844817	1.003347831
BRB_02	BRB	2	WV	E	39.11853	79.58482	0.002628	0.44	1	21.37285854	9.404057757	985	-0.04382208	-0.063557	0.926647341	0.003653081	0.077844817	1.003347831
BRB_03	BRB	3	WV	E	39.11863	79.58606	0.002602	0.52	0.933333333	29.46477656	14.30023822	983	-0.044642793	-0.05925962	0.910844021	0.003653081	0.077844817	1.003347831
BRB_04	BRB	4	WV	E	39.11602	79.58139	0.003934	0.72	1	30.22538884	21.76227997	986	-0.042847343	-0.04673917	0.915794541	0.003653081	0.077844817	1.003347831
BRU_02	BRU	2	PA	M	41.35133	75.17426	0.001686	0.34	1	38.65185952	13.14163224	539	0.411994254	-0.07070226	0.85893791	0.007805636	0.113772573	1.032261184
BRU_03	BRU	3	PA	M	41.34784	75.20009	0.002092	0.5	0.4	29.17611621	5.835223241	551	0.174154471	-0.08799853	0.876890304	0.007805636	0.113772573	1.032261184
BRU_04	BRU	4	PA	M	41.3456	75.20216	0.0028	0.58	0.933333333	47.56003491	25.74583222	559	0.188090154	-0.05239011	0.878771552	0.007805636	0.113772573	1.032261184
BRU_05	BRU	5	PA	M	41.34357	75.20504	0.002932	0.98	1	42.27352172	41.42805129	570	0.137007533	-0.08124771	0.876949059	0.007805636	0.113772573	1.032261184
BRU_06	BRU	6	PA	M	41.34406	75.20509	0.003148	0.82	0.933333333	45.38968212	34.73823671	570	0.137876771	-0.05877478	0.887433609	0.007805636	0.113772573	1.032261184
CAM_01	CAM	1	VT	C	44.30394	72.91039	0.00388	0.64	0.6	35.88937353	13.78151944	538	-0.005458244	0.06934854	0.910514996	0.011090492	0.098960061	1.001615446
CAM_02	CAM	2	VT	C	44.31687	72.90208	0.004154	0.82	0.933333333	24.01841494	18.38209356	808	-0.030978518	0.05489227	0.911888323	0.011090492	0.098960061	1.001615446
CAM_03	CAM	3	VT	C	44.32212	72.88999	0.003038	0.5	0.8	35.6364664	14.25458656	1102	0.004464351	0.05063572	0.941627479	0.011090492	0.098960061	1.001615446
CAM_04	CAM	4	VT	C	44.3215	72.89375	0.003	0.66	0.866666667	26.61580872	15.22424259	999	0.003276204	0.06493765	0.863677229	0.011090492	0.098960061	1.001615446
CAM_05	CAM	5	VT	C	44.32146	72.89611	0.003284	0.72	1	28.28820903	20.3675105	927	-0.021906138	0.06754478	0.929823721	0.011090492	0.098960061	1.001615446
CAM_06	CAM	6	VT	C	44.32074	72.89718	0.003628	0.88	0.933333333	34.80775953	28.58877315	909	-0.030705203	0.05491607	0.878230342	0.011090492	0.098960061	1.001615446
CR_03	CR	3	NC	E	35.748862	82.272246	0.003912	0.56	1	23.81881538	13.33853661	1819	-0.041086786	-0.05336289	0.908711977	0.006777523	0.087086069	1.002650336
CR_04	CR	4	NC	E	35.750184	82.270068	0.004306	0.38	1	27.64062426	10.50343722	1811	-0.044671295	-0.06272699	0.912516517	0.006777523	0.087086069	1.002650336
CR_05	CR	5	NC	E	35.75331	82.270147	0.00396	0.14	0.846153846	32.08064683	3.800322777	1792	-0.044881967	-0.06317725	0.91254154	0.006777523	0.087086069	1.002650336
CR_06	CR	6	NC	E	35.755691	82.269877	0.003998	0.4	1	32.8418108	13.13672432	1776	-0.041435259	-0.0577228	0.901691412	0.006777523	0.087086069	1.002650336
CR_07	CR	7	NC	E	35.758106	82.267885	0.004308	0.38	0.933333333	26.76498611	9.492648404	1763	-0.041715321	-0.05644014	0.92400896	0.006777523	0.087086069	1.002650336
CRA_01	CRA	1	WV	E	38.1888	80.27092	0.002542	0.52	1	30.7461302	15.9879877	1072	-0.04132991	-0.06029071	0.912862428	0.00678846	0.087777547	0.998251338
CRA_02	CRA	2	WV	E	38.19923	80.27311	0.003944	0.8	1	29.24744469	23.39795575	1026	-0.043865981	-0.06004844	0.918682659	0.00678846	0.087777547	0.998251338
CRA_03	CRA	3	WV	E	38.19989	80.27286	0.003814	0.64	1	26.71663727	17.09864785	1023	-0.04312907	-0.05145182	0.90254916	0.00678846	0.087777547	0.998251338
CRA_04	CRA	4	WV	E	38.20064	80.27233	0.003486	0.84	1	31.06252651	26.09252227	1023	-0.041112518	-0.05515702	0.92483611	0.00678846	0.087777547	0.998251338
CRA_05	CRA	5	WV	E	38.20126	80.27228	0.004518	0.84	1	37.28517855	31.31954998	1021	-0.041972858	-0.05170905	0.915481836	0.00678846	0.087777547	0.998251338
CRA_06	CRA	6	WV	E	38.19853	80.27083	0.002636	0.4	0.933333333	29.91856681	11.16959827	1026	-0.045831395	-0.05900897	0.922646116	0.00678846	0.087777547	0.998251338
CRR_01	CRR	1	PA	M	41.37048	76.26347	0.002558	0.62	0.733333333	35.58907335	16.18116534	674	-0.000322121	-0.040537	0.908206558	0.00115207	0.067226401	0.998065898
CRR_02	CRR	2	PA	M	41.37093	76.26328	0.004058	0.68	1	26.11773872	17.76006233	668	0.001544988	-0.02292864	0.906004346	0.00115207	0.067226401	0.998065898
DG_04	DG	4	NC	E	35.78115	82.2597	0.0041	0.44	0.933333333	24.37468575	10.00987094	1955	-0.043533035	-0.0603686	0.892206748	0.008017091	0.091630052	1.018964678
DG_05	DG	5	NC	E	35.78197	82.25905	0.004424	0.6	1	25.86826522	15.52095913	1915	-0.041113006	-0.06208022	0.913606813	0.008017091	0.091630052	1.018964678
DG_06	DG	6	NC	E	35.78233	82.25908	0.003196	0.1	0.6	28.77231858	1.726339115	1908	-0.046300634	-0.06572226	0.924274058	0.008017091	0.091630052	1.018964678
DG_08	DG	8	NC	E	35.78377	82.25858	0.004324	0.18	1	23.26142096	4.187055774	1897	-0.043742085	-0.06225512	0.882244318	0.008017091	0.091630052	1.018964678
DG_10	DG	10	NC	E	35.786327	82.25755	0.005436	0.22	0.833333333	32.08390491	5.882049232	1922	-0.044536634	-0.0620873	0.922000893	0.008017091	0.091630052	1.018964678
EQU_01	EQU	1	VT	C	43.13636	73.13577	0.003578	0.74	0.8	33.10567132	19.59855742	608	-0.026160329	0.03159495	0.918118572	0.009045204	0.090345711	1.008905017
EQU_02	EQU	2	VT	C	43.14051	73.14051	0.00346	0.92	1	32.35401391	29.7656928	701	0.002902697	0.03152832	0.909570681	0.009045204	0.090345711	1.008905017
EQU_03	EQU	3	VT	C	43.14039	73.13477	0.003426	0.78	0.933333333	30.81387802	22.43250319	744	-0.002477208	0.05047594	0.8983311	0.009045204	0.090345711	1.008905017
EQU_04	EQU	4	VT	C	43.15425	73.12742	0.003364	0.74	1	31.04695933	22.97474991	975	-0.019585149	0.03360465	0.931188052	0.009045204	0.090345711	1.008905017
EQU_05	EQU	5	VT	C	43.15975	73.1255	0.00412	0.6	0.6	31.9039471	11.48542096	1023	0.012405651	0.0351798	0.913550041	0.009045204	0.090345711	1.008905017
EQU_06	EQU	6	VT	C	43.1619	73.12386	0.004268	0.78	1	28.73925012	22.4166151	1063	-0.024694819	0.04516705	0.90961427	0.009045204	0.090345711	1.008905017
ESC_01	ESC	1	NY	C	42.19985	74.03118	0.003852	0.6	0.933333333	30.25351405	16.94196786	678	-0.03541954	0.05525571	0.920096536	0.008130111	0.092781297	1.006306418
ESC_02	ESC	2	NY	C	42.20077	74.03092	0.003268	0.44	0.733333333	32.05678016	10.34365439	685	0.000639511	0.02139557	0.893895779	0.008130111	0.092781297	1.006306418
ESC_03	ESC	3	NY	C	42.20205	74.02971	0.00375	0.28	0.571428571	24.19453304	3.871125283	694	-0.033751579	0.03235876	0.917040639	0.008130111	0.092781297	1.006306418
ESC_04	ESC	4	NY	C	42.20549	74.03112	0.00383	0.78	0.933333333	25.98735475	18.91879425	730	-0.040534315	0.03380934	0.891201997	0.008130111	0.092781297	1.006306418
ESC_05	ESC	5	NY	C	42.21354	74.03379	0.00362	0.54	0.933333333	27.9395979	14.08155734	792	-0.025454756	0.04776181	0.926065401	0.008130111	0.092781297	1.006306418
ESC_06	ESC	6	NY	C	42.21471	74.03587	0.003022	0.46	0.533333333	30.90389652	7.581755942	829	-0.014141596	0.01695772	0.917653145	0.008130111	0.092781297	1.006306418
G13_01	G13	1	PA	M	41.41342	76.29673	0.002726	0.86	0.933333333	23.00968967	18.4691109	641	0.00759032	-0.03807927	0.891123586	0.006952521	0.090772629	0.997157498
G13_02	G13	2	PA	M	41.41315	76.29758	0.00309	0.72	0.866666667	31.04695297	19.37329866	639	0.017735259	-0.01841669	0.907102685	0.006952521	0.090772629	0.997157498
G13_03	G13	3	PA	M	41.41275	76.29931	0.002992	0.7	0.866666667	27.33802646	16.58506939	634	-0.015743077	-0.01571947	0.896284988	0.006952521	0.090772629	0.997157498
G13_04	G13	4	PA	M	41.41232	76.29998	0.003036	0.5	0.533333333	29.26389673	7.803705789	637	-0.010892859	-0.01081083	0.932487531	0.006952521	0.090772629	0.997157498
G13_05	G13	5	PA	M	41.41286	76.2958	0.002994	0.62	1	28.74162808	17.81980941	640	-0.004374157	-0.03310578	0.914699261	0.006952521	0.090772629	0.997157498
G18_01	G18	1	PA	M	41.09564	75.4884	0.003094	0.84	1	35.7793021	30.05461376	538	0.043145942	-0.04230134	0.889104778	0.003817142	0.087324065	1.009720015
G18_02	G18	2	PA	M	41.09326	75.49049	0.00427	0.72	0.866666667	30.46333826	19.00912308	552	0.011080498	-0.05122363	0.892130005	0.003817142	0.087324065	1.009720015
G18_03	G18	3	PA	M	41.09363	75.48915	NA	NA	0	NA	NA	560	0.039264793	-0.07843686	0.903090018	0.003817142	0.087324065	1.009720015
G57_01	G57	1	PA	M	41.38781	76.25086	0.003112	0.54	1	33.99951479	18.35973798	644	0.036750872	-0.02758006	0.921351039	0.016125328	0.11038549	1.014611733
G57_02	G57	2	PA	M	41.38786	76.24996	NA	NA	0	NA	NA	644	0.006740008	-0.04154449	0.906337954	0.016125328	0.11038549	1.014611733
G57_03	G57	3	PA	M	41.39196	76.24501	NA	NA	0	NA	NA	635	0.00585142	-0.02610197	0.914073846	0.016125328	0.11038549	1.014611733
G57_04	G57	4	PA	M	41.38787	76.25036	NA	NA	0	NA	NA	655	-0.005859959	-0.02248646	0.895546853	0.016125328	0.11038549	1.014611733
G57_05	G57	5	PA	M	41.3885	76.27803	0.003936	0.88	0.866666667	28.20162259	21.5084375	646	0.007994718	-0.03155389	0.917193919	0.016125328	0.11038549	1.014611733
G57_06	G57	6	PA	M	41.39518	76.24475	0.003022	0.64	1	32.15484803	20.57910274	632	-0.002186436	-0.05174642	0.891559358	0.016125328	0.11038549	1.014611733
G57_07	G57	7	PA	M	41.41808	76.16374	0.003324	0.8	0.933333333	30.34896316	22.66055915	647	-0.015641772	-0.04091933	0.924919265	0.016125328	0.11038549	1.014611733
G57_08	G57	8	PA	M	41.41875	76.16496	0.00291	0.84	1	24.19969184	20.32774115	652	0.015094153	-0.0533558	0.848533631	0.016125328	0.11038549	1.014611733
G57_09	G57	9	PA	M	41.41903	76.16552	0.004432	0.76	0.933333333	37.63289967	26.69427016	652	-0.012632734	-0.05509192	0.92702029	0.016125328	0.11038549	1.014611733
G57_10	G57	10	PA	M	41.41903	76.16604	0.00226	0.54	0.666666667	25.2339193	9.084210954	652	0.007818348	-0.0472114	0.909431903	0.016125328	0.11038549	1.014611733
G57_11	G57	11	PA	M	41.41982	76.16662	0.003548	0.74	0.933333333	32.63742069	22.54157855	652	0.009631032	-0.04696644	0.891274043	0.016125328	0.11038549	1.014611733
GPA_01	GPA	1	WV	E	38.6156	79.84402	0.004014	0.42	1	28.2625622	11.87027612	1363	-0.043362979	-0.04827081	0.910875749	0.005720244	0.085154265	1.010524175
GPA_02	GPA	2	WV	E	38.61929	79.8956	0.003724	0.34	0.8	30.34343079	8.253413174	1339	-0.040625387	-0.05697129	0.907165502	0.005720244	0.085154265	1.010524175
GPA_03	GPA	3	WV	E	38.61926	79.84243	0.00543	0.5	1	31.87778072	15.93889036	1314	-0.0437903	-0.04783941	0.916197776	0.005720244	0.085154265	1.010524175
GPA_04	GPA	4	WV	E	38.59968	79.85046	0.004466	0.54	0.933333333	29.31877673	14.77666347	1147	-0.041363975	-0.04896823	0.894822627	0.005720244	0.085154265	1.010524175
GRE_01	GRE	1	MA	C	42.6402	73.17194	0.002808	0.68	1	27.11429583	18.43772117	929	0.03181947	0.03822273	0.893256933	0.0087025	0.09555111	1.014799541
GRE_03	GRE	3	MA	C	42.63586	73.16558	0.003656	0.74	0.933333333	28.20776891	19.48216572	1055	-0.025114356	0.03997947	0.913051686	0.0087025	0.09555111	1.014799541
GRE_04	GRE	4	MA	C	42.63636	73.16608	0.003552	0.68	0.933333333	28.74191614	18.24153611	1055	-0.000534501	0.04277276	0.895686539	0.0087025	0.09555111	1.014799541
GRE_05	GRE	5	MA	C	42.63514	73.16494	0.003652	0.5	0.466666667	29.3542193	6.849317842	1013	-0.021040463	0.04047003	0.934940735	0.0087025	0.09555111	1.014799541
GRE_06	GRE	6	MA	C	42.63069	73.17808	0.003608	0.64	0.933333333	22.51824429	13.45089792	934	-0.030026725	0.04885211	0.912616919	0.0087025	0.09555111	1.014799541
GRE_07	GRE	7	MA	C	42.63034	73.18195	0.004666	0.66	1	33.97175351	22.42135732	888	-0.030521089	0.04666899	0.893100993	0.0087025	0.09555111	1.014799541
HR_01	HR	1	TN	E	35.5714	83.17954	0.00454	0.08	0.857142857	30.43660711	2.08708163	1615	-0.03395046	0.03169333	0.900120038	0.011914441	0.095022556	1.000186212
HR_03	HR	3	TN	E	35.56898	83.17448	0.00363	0.48	0.933333333	27.91302081	12.50503332	1627	-0.045058208	-0.06033773	0.906282549	0.011914441	0.095022556	1.000186212
HR_05	HR	5	TN	E	35.57113	83.1706	0.003732	0.52	1	28.20379514	14.66597347	1607	-0.043220736	-0.05270862	0.914471488	0.011914441	0.095022556	1.000186212
HR_07	HR	7	TN	E	35.56706	83.16762	0.003914	0.26	0.666666667	28.84428787	4.999676567	1595	-0.043303164	-0.05641037	0.88768669	0.011914441	0.095022556	1.000186212
HR_10	HR	10	TN	E	35.61916	83.20716	0.003076	0.6	1	32.5658626	19.53951756	1036	-0.043569417	-0.06053582	0.915882223	0.011914441	0.095022556	1.000186212
HUN_01	HUN	1	NY	C	42.17801	74.22929	0.002696	0.34	0.466666667	22.60306551	3.586353064	1221	-0.022447744	0.03545531	0.915610236	0.008990517	0.093273751	1.003093876
HUN_02	HUN	2	NY	C	42.17772	74.2286	0.002692	0.18	0.866666667	30.12838998	4.700028839	1198	-0.039497309	0.03383789	0.916971822	0.008990517	0.093273751	1.003093876
HUN_03	HUN	3	NY	C	42.17778	74.23087	0.002392	0.18	0.5	24.9002061	2.241018549	1219	-0.031215876	0.03680889	0.911841676	0.008990517	0.093273751	1.003093876
HUN_04	HUN	4	NY	C	42.17897	74.2295	0.003504	0.58	0.933333333	22.60400587	12.23630184	1203	-0.032847233	0.04563405	0.901648219	0.008990517	0.093273751	1.003093876
HUN_05	HUN	5	NY	C	42.17995	74.22938	0.002266	0.44	0.933333333	30.21226762	12.40717123	1189	-0.01492107	0.03556328	0.897531908	0.008990517	0.093273751	1.003093876
HUN_06	HUN	6	NY	C	42.19198	74.23504	0.003784	0.42	0.933333333	23.64850518	9.270214028	1029	-0.037744663	0.03227379	0.924317785	0.008990517	0.093273751	1.003093876
HUN_07	HUN	7	NY	C	42.19412	74.23513	NA	NA	0	NA	NA	991	-0.031912041	0.04865017	0.919484091	0.008990517	0.093273751	1.003093876
IND_01	IND	1	NY	C	42.16541	74.20158	0.003448	0.68	1	29.14675995	19.81979676	646	-0.023021793	0.04148299	0.918631607	0.008006154	0.092090564	0.995014578
IND_02	IND	2	NY	C	42.16542	74.20212	0.00312	0.54	0.866666667	25.1200789	11.75619693	652	-0.03224804	0.03019421	0.927739532	0.008006154	0.092090564	0.995014578
IND_03	IND	3	NY	C	42.16714	74.2009	0.004384	0.76	0.933333333	33.13949208	23.50694638	633	-0.033209713	0.04149705	0.905924614	0.008006154	0.092090564	0.995014578
IND_04	IND	4	NY	C	42.16395	74.20231	0.003834	0.5	0.6	27.92119249	8.376357748	641	-0.002374979	0.04411891	0.880572949	0.008006154	0.092090564	0.995014578
IND_05	IND	5	NY	C	42.16349	74.20258	0.003244	0.48	0.8	22.30132037	8.563707023	636	-0.009766072	0.03245917	0.90496525	0.008006154	0.092090564	0.995014578
IND_06	IND	6	NY	C	42.16228	74.20313	0.003508	0.56	1	26.78029227	14.99696367	637	-0.035208716	0.04774143	0.928239592	0.008006154	0.092090564	0.995014578
JAY_01	JAY	1	VT	C	44.92981	72.52965	0.002612	0.68	0.933333333	19.38537194	12.30324939	900	0.018000346	0.05632039	0.922873063	0.00152394	0.066256491	0.997301308
JAY_02	JAY	2	VT	C	44.9235	72.51746	0.003588	0.76	1	32.13282681	24.42094837	897	-0.007835333	0.06540788	0.940624186	0.00152394	0.066256491	0.997301308
JAY_03	JAY	3	VT	C	44.92305	72.51562	0.00318	0.88	0.866666667	26.45320926	20.17498094	861	-0.01711911	0.04997646	0.91105657	0.00152394	0.066256491	0.997301308
